"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"714251978273067008","https://twitter.com/IBMcloudant/status/714251978273067008","Get advanced analytics for your Cloudant data with Spark in @IBMBluemix. https://t.co/rzv8FXYqNR #openfordata https://t.co/ft0aPOXJ2r","2016-03-28 00:45 +0000","1134.0","4.0","0.003527336860670194","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"714204144127574016","https://twitter.com/IBMcloudant/status/714204144127574016","Discover 5 key steps organizations can take to implement a strategy with #ApacheSpark https://t.co/Bfd15uoYqD https://t.co/FCdnOY4rMI","2016-03-27 21:35 +0000","933.0","4.0","0.004287245444801715","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"714162664226885632","https://twitter.com/IBMcloudant/status/714162664226885632","RT @IBMIBV: #Millennials love to use data at work. #IBVstudy: https://t.co/1wFXbY2KkP https://t.co/m8065N0Tvw","2016-03-27 18:50 +0000","1178.0","9.0","0.007640067911714771","3.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"714121146606698496","https://twitter.com/IBMcloudant/status/714121146606698496","[Webinar] What is Cloudant Data Layer and how can it help you build better apps? Details: https://t.co/hS8hNZ2cju https://t.co/ajMbtBQaER","2016-03-27 16:05 +0000","1012.0","2.0","0.001976284584980237","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"714074799660732417","https://twitter.com/IBMcloudant/status/714074799660732417","How cloud-based databases foster rapid, creative problem solving for developers https://t.co/35cSVeARH2 #OpenForData https://t.co/Op0QENJa9l","2016-03-27 13:01 +0000","1375.0","7.0","0.005090909090909091","4.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"714020425454497792","https://twitter.com/IBMcloudant/status/714020425454497792","Take a look at this example of how to use the Cloudant #NoSQL database in #Bluemix https://t.co/j8qH3uqszW https://t.co/4tXh2yXJuQ","2016-03-27 09:25 +0000","2139.0","18.0","0.008415147265077139","8.0","0.0","3.0","0.0","2.0","0.0","3.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713937370362552320","https://twitter.com/IBMcloudant/status/713937370362552320","How #Runkeeper creates life-changing experiences using Cloudant and #IBMCloud: https://t.co/YEMNF3PUbE https://t.co/ThCPl1ROLT","2016-03-27 03:55 +0000","2154.0","18.0","0.008356545961002786","10.0","0.0","2.0","0.0","4.0","0.0","0.0","0.0","0","0","1","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713883310368407552","https://twitter.com/IBMcloudant/status/713883310368407552","RT @IBMIoT: Meet DRU, @dominos first autonomous #pizza delivery vehicle https://t.co/l3M1eCHm3i https://t.co/HDeJmDnk0Z","2016-03-27 00:20 +0000","1279.0","13.0","0.010164190774042221","5.0","0.0","1.0","0.0","7.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713840608226447364","https://twitter.com/IBMcloudant/status/713840608226447364","Order up! How Cloudant is helping @menu_at transform the way restaurants serve customers: https://t.co/SQsL1WEm2v https://t.co/JVjf3PiF9y","2016-03-26 21:30 +0000","1199.0","6.0","0.0050041701417848205","3.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713801530969890816","https://twitter.com/IBMcloudant/status/713801530969890816","Using the sync functionality to connect #PouchDB to Cloudant: https://t.co/T5AZAaVtGD https://t.co/IeBN6gpK5q","2016-03-26 18:55 +0000","1913.0","24.0","0.012545739675901725","9.0","0.0","3.0","0.0","8.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713758726012944384","https://twitter.com/IBMcloudant/status/713758726012944384","MT @IBMbigdata: Everything you need to know about becoming a #cognitive business https://t.co/jGFwrTs9ZZ https://t.co/Eal9xdFAec","2016-03-26 16:05 +0000","1781.0","26.0","0.014598540145985401","11.0","0.0","4.0","0.0","6.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713731049495347200","https://twitter.com/IBMcloudant/status/713731049495347200","[Webinar] What is Cloudant Data Layer and how can it help you build better apps? Details:  https://t.co/hS8hNZ2cju https://t.co/FeLNDiEKHj","2016-03-26 14:15 +0000","1875.0","13.0","0.006933333333333333","6.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713700865681596417","https://twitter.com/IBMcloudant/status/713700865681596417","Learn how you can get up and running quickly with #Spark: https://t.co/SeWWhkggZw #developer #application https://t.co/v2NE1ojrdY","2016-03-26 12:15 +0000","1281.0","14.0","0.01092896174863388","5.0","0.0","3.0","0.0","5.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713664332119293952","https://twitter.com/IBMcloudant/status/713664332119293952","5 great things you need to know about Cloudant: https://t.co/01H1STKUMf #developers https://t.co/jcX7uGokJD","2016-03-26 09:50 +0000","1342.0","20.0","0.014903129657228018","6.0","0.0","1.0","1.0","9.0","0.0","2.0","0.0","0","0","0","1","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713631620226498560","https://twitter.com/IBMcloudant/status/713631620226498560","Sampling #Bluemix ToDo apps in various languages using Cloudant: https://t.co/ZX4LS1FU2C","2016-03-26 07:40 +0000","1228.0","6.0","0.004885993485342019","4.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713543526743678976","https://twitter.com/IBMcloudant/status/713543526743678976","RT @ibmmobile: More than 91 million #wearables will ship in 2016, says Gartner. #IBMMobile https://t.co/fs3XXjOBMd https://t.co/sklujncFpX","2016-03-26 01:50 +0000","1691.0","23.0","0.013601419278533412","8.0","1.0","5.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","53","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
